Cohort Year,Level,Division Number,Division Name,School Number,School Name,Type of Graduation Rate,Rate Type,Disadvantaged,Graduation Rate,Students in Cohort,Total Graduates,Advanced Studies,IB,Standard,Other Diplomas,Applied Studies,Dropout Rate
2008,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    89.94%,             328,             295,             234,               0,              60,               0,<,     6.71%
2008,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    63.04%,              46,              29,               4,               0,              22,               0,<,    19.57%
2008,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    87.83%,             263,             231,             152,               0,              67,<,<,     7.60%
2008,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,    75.00%,              56,              42,              13,               0,              25,<,<,    10.71%
2008,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,N,    93.57%,             249,             233,             155,               0,              69,<,<,     3.61%
2008,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    79.17%,              24,              19,               5,               0,               9,<,<,    12.50%
2008,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,N,    90.37%,             883,             798,             552,               0,             224,<,              18,     6.00%
2008,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,Y,    71.32%,             129,              92,              23,               0,              57,<,              10,    13.95%
2008,State,,,,,On-Time Graduation Rate,4 yr rate,N,    85.39%,"          74,901","          63,945","          36,730",             791,"          24,353","           1,095",             989,     8.73%
2008,State,,,,,On-Time Graduation Rate,4 yr rate,Y,    70.66%,"          21,283","          15,034","           4,320",              56,"           8,935",             754,             973,    17.12%
2009,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    91.78%,             377,             346,             282,               0,              56,<,<,     5.57%
2009,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    70.31%,              64,              45,              18,               0,              25,<,<,    15.63%
2009,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    88.98%,             245,             218,             146,               0,              70,<,<,     6.12%
2009,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,    79.03%,              62,              49,              23,               0,              22,<,<,    12.90%
2009,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,N,    95.62%,             251,             240,             175,               0,              57,<,<,     2.39%
2009,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    61.54%,              13,               8,               0,               0,               7,               0,<,    23.08%
2009,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,N,    92.03%,             916,             843,             606,               0,             217,<,              16,     4.69%
2009,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,Y,    72.86%,             140,             102,              41,               0,              54,<,<,    15.71%
2009,State,,,,,On-Time Graduation Rate,4 yr rate,N,    86.51%,"          74,058","          64,064","          37,387",             667,"          23,961","           1,022","           1,027",     7.87%
2009,State,,,,,On-Time Graduation Rate,4 yr rate,Y,    73.21%,"          24,039","          17,597","           5,238",              55,"          10,434",             812,"           1,060",    15.14%
2010,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    92.62%,             366,             339,             268,               0,              66,               0,<,     4.64%
2010,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    79.69%,              64,              51,              27,               0,              18,<,<,    14.06%
2010,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    90.13%,             223,             201,             151,               0,              45,<,<,     7.62%
2010,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,    96.49%,              57,              55,              17,               0,              30,<,<,     3.51%
2010,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,N,    96.77%,             248,             240,             174,               0,              60,<,<,     2.02%
2010,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    82.14%,              28,              23,               3,               0,              16,<,<,     7.14%
2010,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,N,    93.10%,             869,             809,             598,               0,             195,<,              13,     4.49%
2010,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,Y,    85.53%,             152,             130,              47,               0,              65,<,              11,     8.55%
2010,State,,,,,On-Time Graduation Rate,4 yr rate,N,    88.46%,"          71,403","          63,163","          37,757",             701,"          22,832",             883,             992,     6.44%
2010,State,,,,,On-Time Graduation Rate,4 yr rate,Y,    78.26%,"          26,311","          20,588","           6,226",              57,"          12,229",             871,"           1,209",    11.46%
2011,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    95.48%,             376,             359,             291,               0,              62,               0,<,     2.93%
2011,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    85.71%,              84,              72,              22,               0,              46,<,<,     8.33%
2011,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    94.15%,             205,             193,             146,               0,              40,<,<,     3.90%
2011,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,    88.66%,              97,              86,              29,               0,              48,<,<,     4.12%
2011,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,N,    99.08%,             217,             215,             165,               0,              44,<,<,      .00%
2011,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    86.36%,              22,              19,               7,               0,              12,               0,               0,     9.09%
2011,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,N,    94.78%,             823,             780,             608,               0,             152,<,              18,     2.92%
2011,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,Y,    86.06%,             208,             179,              58,               0,             107,<,              10,     6.25%
2011,State,,,,,On-Time Graduation Rate,4 yr rate,N,    89.37%,"          69,032","          61,690","          38,057",             755,"          21,122",             811,             946,     5.87%
2011,State,,,,,On-Time Graduation Rate,4 yr rate,Y,    79.98%,"          28,926","          23,133","           7,456",              55,"          13,579",             864,"           1,181",    10.31%
2012,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    93.35%,             331,             309,             258,               0,              41,<,<,     3.63%
2012,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    88.00%,              75,              66,              31,               0,              30,<,<,     6.67%
2012,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    89.88%,             257,             231,             178,               0,              49,               0,<,     5.84%
2012,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,    85.94%,              64,              55,              31,               0,              20,<,<,    12.50%
