Cohort Year,Level,Division Number,Division Name,School Number,School Name,Type of Graduation Rate,Rate Type,Disabled,Graduation Rate,Students in Cohort,Total Graduates,Advanced Studies,IB,Standard,Other Diplomas,Applied Studies,Dropout Rate
2008,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    87.65%,             332,             291,             231,               0,              60,               0,               0,     7.23%
2008,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    78.57%,              42,              33,               7,               0,              22,               0,<,    16.67%
2008,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    87.23%,             274,             239,             159,               0,              80,               0,               0,     6.57%
2008,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,    75.56%,              45,              34,               6,               0,              12,<,              12,    17.78%
2008,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,N,    92.95%,             227,             211,             154,               0,              57,               0,               0,     3.52%
2008,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    89.13%,              46,              41,               6,               0,              21,<,              12,     8.70%
2008,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,N,    88.85%,             870,             773,             554,               0,             219,               0,               0,     5.98%
2008,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,Y,    82.39%,             142,             117,              21,               0,              62,<,              28,    13.38%
2008,State,,,,,On-Time Graduation Rate,4 yr rate,N,    82.24%,"          85,274","          70,111","          40,181",             844,"          29,086",              15,               0,    10.18%
2008,State,,,,,On-Time Graduation Rate,4 yr rate,Y,    81.30%,"          10,910","           8,868",             869,               3,"           4,202","           1,834","           1,962",    13.79%
2009,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    88.78%,             392,             348,             290,               0,              58,               0,               0,     6.89%
2009,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    87.76%,              49,              43,              10,               0,              23,<,<,     8.16%
2009,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    87.45%,             271,             237,             163,               0,              74,               0,               0,     7.01%
2009,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,    83.33%,              36,              30,               6,               0,              18,<,<,    11.11%
2009,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,N,    94.42%,             233,             220,             169,               0,              51,               0,               0,     3.86%
2009,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    90.32%,              31,              28,               6,               0,              13,<,<,      .00%
2009,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,N,    89.73%,             925,             830,             624,               0,             206,               0,               0,     6.05%
2009,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,Y,    87.79%,             131,             115,              23,               0,              65,<,              21,     6.87%
2009,State,,,,,On-Time Graduation Rate,4 yr rate,N,    83.41%,"          86,107","          71,817","          41,457",             721,"          29,639",<,               0,     9.15%
2009,State,,,,,On-Time Graduation Rate,4 yr rate,Y,    82.10%,"          11,990","           9,844","           1,168",               1,"           4,756","           1,832","           2,087",    13.24%
2010,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    91.38%,             383,             350,             287,               0,              63,               0,               0,     4.96%
2010,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    85.11%,              47,              40,               8,               0,              21,<,<,    14.89%
2010,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    92.92%,             240,             223,             161,               0,              62,               0,               0,     5.00%
2010,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,    82.50%,              40,              33,               7,               0,              13,<,<,    17.50%
2010,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,N,    95.76%,             236,             226,             172,               0,              54,               0,               0,     1.69%
2010,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    92.50%,              40,              37,               5,               0,              22,<,<,     7.50%
2010,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,N,    92.70%,             890,             825,             625,               0,             200,               0,               0,     3.93%
2010,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,Y,    87.02%,             131,             114,              20,               0,              60,              10,              24,    12.98%
2010,State,,,,,On-Time Graduation Rate,4 yr rate,N,    85.98%,"          85,910","          73,858","          43,114",             755,"          29,989",<,               0,     7.26%
2010,State,,,,,On-Time Graduation Rate,4 yr rate,Y,    83.83%,"          11,804","           9,893",             869,               3,"           5,072","           1,750","           2,201",    11.64%
2011,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    93.43%,             411,             384,             302,               0,              82,               0,               0,     3.89%
2011,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    95.92%,              49,              47,              11,               0,              26,<,<,     4.08%
2011,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    91.70%,             253,             232,             169,               0,              63,               0,               0,     3.95%
2011,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,    95.92%,              49,              47,               6,               0,              25,<,              12,     4.08%
2011,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,N,    97.67%,             215,             210,             165,               0,              45,               0,               0,      .93%
2011,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,Y,   100.00%,              24,              24,               7,               0,              11,<,<,      .00%
2011,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,N,    92.48%,             904,             836,             640,               0,             196,               0,               0,     3.65%
2011,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,Y,    96.85%,             127,             123,              26,               0,              63,<,              28,     3.15%
2011,State,,,,,On-Time Graduation Rate,4 yr rate,N,    86.92%,"          86,304","          75,009","          44,589",             807,"          29,613",<,               0,     6.65%
2011,State,,,,,On-Time Graduation Rate,4 yr rate,Y,    84.21%,"          11,654","           9,814",             924,               3,"           5,088","           1,672","           2,127",    11.15%
2012,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    93.28%,             357,             333,             274,               0,              59,               0,               0,     3.92%
2012,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    85.71%,              49,              42,              15,               0,              12,<,              11,     6.12%
2012,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    90.55%,             275,             249,             196,               0,              53,               0,               0,     6.18%
2012,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,    80.43%,              46,              37,              13,               0,              16,<,<,    13.04%
2012,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,N,    96.41%,             223,             215,             169,               0,              46,               0,               0,      .90%
